controller,creature_idx,mean_phase_diff,std_phase_diff,is_walking,is_hopping,is_incommensurate,phase_stability
sine,0,N/A,N/A,False,False,True,0.0
sine,1,N/A,N/A,False,False,True,0.0
sine,2,N/A,N/A,False,False,True,0.0
sine,3,N/A,N/A,False,False,True,0.0
sine,4,N/A,N/A,False,False,True,0.0
sine,5,N/A,N/A,False,False,True,0.0
sine,6,N/A,N/A,False,False,True,0.0
sine,7,N/A,N/A,False,False,True,0.0
sine,8,3.0669106074956165,0.0,True,False,False,inf
sine,9,N/A,N/A,False,False,True,0.0
sine,10,N/A,N/A,False,False,True,0.0
sine,11,N/A,N/A,False,False,True,0.0
sine,12,N/A,N/A,False,False,True,0.0
sine,13,N/A,N/A,False,False,True,0.0
sine,14,N/A,N/A,False,False,True,0.0
sine,15,1.404715520836218,0.0,False,False,False,inf
sine,16,N/A,N/A,False,False,True,0.0
sine,17,N/A,N/A,False,False,True,0.0
sine,18,N/A,N/A,False,False,True,0.0
sine,19,N/A,N/A,False,False,True,0.0
sine,20,N/A,N/A,False,False,True,0.0
sine,21,N/A,N/A,False,False,True,0.0
sine,22,N/A,N/A,False,False,True,0.0
sine,23,1.4490172861677,0.0,False,False,False,inf
sine,24,N/A,N/A,False,False,True,0.0
sine,25,N/A,N/A,False,False,True,0.0
sine,26,2.275434612423423,0.0,False,False,False,inf
sine,27,1.2449093396322493,0.0,False,False,False,inf
sine,28,N/A,N/A,False,False,True,0.0
sine,29,N/A,N/A,False,False,True,0.0
cpg,0,1.5630559290647112,0.9153731658057574,False,False,False,1.080645124531207
cpg,1,1.4135027409966534,0.8858876973106411,False,False,False,1.1162113320697369
cpg,2,1.721203787631226,0.9346413392765167,False,False,False,1.0586028351944468
cpg,3,1.4815397142785454,0.9039557908908578,False,False,False,1.0941448262232385
cpg,4,1.5695878795655505,0.9056053488532512,False,False,False,1.0921736108820779
cpg,5,1.5593996732194029,0.9086725601403872,False,False,False,1.088527124231494
cpg,6,1.5162356105963233,0.906512651894238,False,False,False,1.091092412017675
cpg,7,1.573222582965371,0.9071723295226976,False,False,False,1.09030764209863
cpg,8,0.5400865267452352,0.019824971769443277,False,False,False,33.52895042886628
cpg,9,1.5782216506934772,0.9047644935786223,False,False,False,1.0931775413450193
cpg,10,1.6281489596294647,0.9089731734793159,False,False,False,1.0881710466192491
cpg,11,1.5576008587962615,0.9052003132291301,False,False,False,1.0926569686931908
cpg,12,1.2992939621611894,0.8905395217115077,False,False,False,1.1104454339765832
cpg,13,1.524159081091283,0.8948606702641736,False,False,False,1.1051425184697778
cpg,14,1.5345072451764514,0.897195748894081,False,False,False,1.1022979342871173
cpg,15,1.5637416172461553,0.9114659542396187,False,False,False,1.085227289623724
cpg,16,1.5768569357962852,0.9057431082805968,False,False,False,1.092009310206663
cpg,17,1.5741608621783525,0.9097803130062855,False,False,False,1.0872161383097207
cpg,18,1.6255735978756016,0.914336633413553,False,False,False,1.0818569381016785
cpg,19,1.544690360632145,0.906585214498564,False,False,False,1.0910060343348105
cpg,20,1.5865895008380402,0.8981310484926459,False,False,False,1.1011626589134267
cpg,21,1.5924413606383203,0.908449626392203,False,False,False,1.0887913406074736
cpg,22,1.5336095584735119,0.9064497735452083,False,False,False,1.0911672727372552
cpg,23,1.5881437787555877,0.8989752579758054,False,False,False,1.1001399556539058
cpg,24,1.608240028248266,0.9070381660431228,False,False,False,1.0904671550529295
cpg,25,1.6310008653555197,0.9061322910132976,False,False,False,1.0915454130472135
cpg,26,1.5778585878224194,0.9062843277861943,False,False,False,1.0913642956396172
cpg,27,1.5641602192606339,0.9075338088652991,False,False,False,1.089878095322379
cpg,28,1.56646891253813,0.9054371587652746,False,False,False,1.0923742721442313
cpg,29,1.5661336844353386,0.9078672239233848,False,False,False,1.0894821973548006
cpgnn_flat,0,0.14329882161281216,0.0478793651083028,False,True,False,17.277314603033716
cpgnn_flat,1,1.5819664356080956,0.9104705499610988,False,False,False,1.0864008631696715
cpgnn_flat,2,1.051416609492718,0.7696025138467911,False,False,False,1.2827049454544497
cpgnn_flat,3,1.5814031000075086,0.8850453908173813,False,False,False,1.1172617727093943
cpgnn_flat,4,0.44180994862147605,0.13811398646005185,False,True,False,6.75155685091031
cpgnn_flat,5,1.2935298901604257,0.05612723518176732,False,False,False,15.122362174242562
cpgnn_flat,6,1.6335585616567714,0.12540028497758401,False,False,False,7.3855088278843235
cpgnn_flat,7,1.335488969283643,0.8967416854548972,False,False,False,1.102849925222437
cpgnn_flat,8,1.5573676814640143,0.912036543095468,False,False,False,1.0845557125564596
cpgnn_flat,9,0.35548308899754266,0.25176882358379227,False,True,False,3.82016462583024
cpgnn_flat,10,1.7004534878922297,0.8987325547657469,False,False,False,1.100433779724971
cpgnn_flat,11,1.1615731555035524,0.8904484944829071,False,False,False,1.110557690003426
cpgnn_flat,12,1.5889315101897872,0.9030660210588122,False,False,False,1.0952110547716771
cpgnn_flat,13,0.7070799644789456,0.03869163283237239,False,False,False,20.537409444506345
cpgnn_flat,14,1.5636543748285638,0.9123354572051664,False,False,False,1.0842042254671314
cpgnn_flat,15,1.585328223868586,0.916566108317516,False,False,False,1.079253807173918
cpgnn_flat,16,1.2604607411566653,0.8181979092702175,False,False,False,1.207440865047787
cpgnn_flat,17,1.4482815533833882,0.8678256324748486,False,False,False,1.1391784005904522
cpgnn_flat,18,1.5224084062021277,0.9201201011692388,False,False,False,1.0751299737989926
cpgnn_flat,19,1.5406063764493567,0.9013021810540868,False,False,False,1.0973308533546118
cpgnn_flat,20,1.3156050536005963,0.8828631932130125,False,False,False,1.1199924104850267
cpgnn_flat,21,1.5704932185402154,0.9127061222705746,False,False,False,1.0837686841604806
cpgnn_flat,22,1.5725658459183427,0.9133262743935051,False,False,False,1.0830407708876895
cpgnn_flat,23,1.6350107853083238,0.9074089958128018,False,False,False,1.0900263727128865
cpgnn_flat,24,1.429557906750515,0.8830641483027889,False,False,False,1.1197403925579543
cpgnn_flat,25,1.5179953195652616,0.9167483520001614,False,False,False,1.0790415735207326
cpgnn_flat,26,1.568329192971264,0.9028133428574262,False,False,False,1.095514222951265
cpgnn_flat,27,1.6347421362385897,0.907542852914418,False,False,False,1.0898673525968525
cpgnn_flat,28,1.603560082239072,0.9004890487153918,False,False,False,1.0983108488903839
cpgnn_flat,29,1.5814865931828705,0.9016260165120097,False,False,False,1.0969410502632644
